,twelveR,thirteenR,fourteenR,fifteenR,sixteenR,twelveA,thirteenA,fourteenA,fifteenA,sixteenA
UCB,1.24,1.16,1.24,1.23,1.23,15.730545,11.955151,18.228926,22.001325,14.692796
UCD,0.48,0.38,0.48,0.74,0.43,4.056122,3.096717,3.396006,3.779931,3.394224
UCI,0.74,0.77,0.63,0.8,0.67,4.691476,5.05547,6.748905,5.237877,4.814475
UCLA,0.65,0.62,0.84,0.84,0.82,4.765432,4.881921,6.462375,7.841751,8.587961
UCR,0.94,0.9,0.94,0.9,0.82,7.447919,11.168921,9.352518,8.012416,8.024537
UCSD,0.69,0.63,0.62,0.65,0.66,3.679444,5.871877,9.45447,4.6575,3.850377
UCSF,1.91,2.07,2.02,1.96,1.93,11.477394,17.782041,25.021633,13.019284,14.139394
UCSB,0.87,0.74,0.83,0.92,0.73,18.29892,16.873973,40.370859,44.488119,31.607852
UCSC,0.75,0.76,0.9,0.74,0.95,4.871752,3.233017,6.187824,3.983767,6.703809
UCM,1.33,1.44,1.56,1.47,1.47,5.317221,4.08703,5.58369,2.334439,5.283204
